Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
Savia and Spendio and the Piggy Banks,My Piggy Bank,['Tina Benjamin'],Gareth Stevens Publishing LLLP,2014-12-15,"Why are piggy banks shaped like pigs? And more importantly, do they help us save money? Early readers will learn all about piggy banks in this fun book that takes a look at saving money with the help of a tiny pig-shaped friend. From coins like nickels and dimes to larger amounts of money, color photographs and accessible text explore one child’s quest to save for and buy a baseball glove. Readers will learn that sometimes you have to break the bank if you want to buy something new!",26.0,BOOK,['Juvenile Nonfiction'],,,en
Around the World: Carlos Climbs the Ladder — Peru,,,,,,,,,,,
Marlo Mouse's Big Moon Adventure,Super Moon Adventure,['A. E. Dingee'],,2018,"Catboy, Gekko, and Owlette race into space to keep Luna Girl from capturing the harvest moon crystal.",0.0,BOOK,['Moon'],,,en
Charlie’s ABC Adventure: A Fun-Filled Journey Through the Alphabet,Charlie's ABC Adventure,['Faye Harper'],Independently Published,2024-12-31,"Join Charlie, an energetic and enthusiastic guide, on a playful adventure through the alphabet! In this charming book, Charlie introduces you to a whole world of animals and objects, each one starting with a different letter of the alphabet. From A is for Alligator and Apple to Z is for Zebra and Zinnias, every page is bursting with fun illustrations that bring the letters to life. Charlie's cheerful personality makes learning feel like a game as children meet animals like a Bear with berries, a relaxing Hippo, a dancing Duck, along with everyday objects like a colorful Kite and an Umbrella. Perfect for young learners, this playful and educational journey will help children master their ABCs in no time!",0.0,BOOK,['Juvenile Fiction'],,,en
The Adventures of Benji and Buddy: The Coloring & Activity Book (Surgeryland Books: The Coloring & Activity Book Collection),The Publishers Weekly,[],,1980,,1172.0,BOOK,['American literature'],,,en
The Colorless Sara Short,The Colorless Sara Short,['S. Michael Smith'],,2024-06-09,,0.0,BOOK,[],,,en
There's a Bear on My Chair (Ross Collins' Mouse and Bear Stories),There's a Bear on My Chair,['Ross Collins'],Candlewick Press,2022-03,"Poor Mouse! A bear has settled in his favorite chair, and that chair just isn't big enough for two. Mouse tries all kinds of tactics to move pesky Bear, but nothing works. Once Mouse has gone, Bear gets up and walks home. But what's that? Is that a mouse in Bear's house?",32.0,BOOK,['Juvenile Fiction'],,,en
My First Book of Baby Signs: 40 Essential Signs to Learn and Practice,My First Book of Baby Signs,['Lane Rebelo'],"Sourcebooks, Inc.",2021-03-09,"Learn sign language alongside your baby with this adorable storybook for ages 0 to 3! Story time is the perfect time to practice sign language with your child. My First Book of Baby Signs is part-storybook and part-sign language guide, designed to encourage you and your baby to learn new words and signs as you read together. This baby sign language book starts with signs for basics like ""eat,"" ""milk,"" and ""mommy"" and then moves on to more advanced ideas like ""help,"" ""potty,"" and ""I love you."" Get an illustrated sign language book for babies that includes: A storybook style—Each sign is paired with engaging text and vibrant illustrations to help depict the meaning of the word. Interactive learning—Every page includes written and visual instructions that demonstrate how to sign properly and allow you and your baby to learn and practice together. 40 real ASL signs—This baby signs book uses signs are the accurate and up-to-date versions from American Sign Language, and you'll even find a guide to the full alphabet and basic numbers. This book of sign language for babies and toddlers is the perfect way to start communicating with your baby before they learn to speak.",136.0,BOOK,['Juvenile Nonfiction'],,,en
The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),The Girl Who Drank the Moon (Winner of the 2017 Newbery Medal),['Kelly Barnhill'],Algonquin Books,2016-08-09,"Winner of the 2017 Newbery Award The New York Times Bestseller An Entertainment Weekly Best Middle Grade Book of 2016 A New York Public Library Best Book of 2016 A Chicago Public Library Best Book of 2016 An Amazon Top 20 Best Book of 2016 A Publishers Weekly Best Book of 2016 A School Library Journal Best Book of 2016 Named to KirkusReviews’ Best Books of 2016 2017 Booklist Youth Editors’ Choice Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. They hope this sacrifice will keep her from terrorizing their town. But the witch in the Forest, Xan, is kind. She shares her home with a wise Swamp Monster and a Perfectly Tiny Dragon. Xan rescues the children and delivers them to welcoming families on the other side of the forest, nourishing the babies with starlight on the journey. One year, Xan accidentally feeds a baby moonlight instead of starlight, filling the ordinary child with extraordinary magic. Xan decides she must raise this girl, whom she calls Luna, as her own. As Luna’s thirteenth birthday approaches, her magic begins to emerge--with dangerous consequences. Meanwhile, a young man from the Protectorate is determined to free his people by killing the witch. Deadly birds with uncertain intentions flock nearby. A volcano, quiet for centuries, rumbles just beneath the earth’s surface. And the woman with the Tiger’s heart is on the prowl . . . The Newbery Medal winner from the author of the highly acclaimed novel The Witch’s Boy.",401.0,BOOK,['Juvenile Fiction'],5.0,2.0,en
Daniel Goes to the Dentist (Daniel Tiger's Neighborhood),Daniel Goes to the Dentist,[],Simon and Schuster,2019-08-27,"A new generation of children love Daniel Tiger’s Neighborhood, inspired by the classic series Mister Rogers’ Neighborhood! Daniel visits the dentist for the first time in this sweet 8x8 storybook based on an episode of Daniel Tiger’s Neighborhood. Daniel Tiger is a little nervous about visiting the dentist, Dr. Plat. Mom Tiger explains that when you do something new, like going to the dentist, you should talk about what’s going to happen, and Dr. Plat does just that! During his checkup, as Daniel gets his teeth brushed, checked, and polished, Dr. Plat explains what she’s doing each step of the way so Daniel feels more comfortable. This sweet storybook is perfect for little ones who need some reassurance as they take their seat in the dentist’s chair! © 2019 The Fred Rogers Company",28.0,BOOK,['Juvenile Fiction'],,,en
Pete the Cat and the Lost Tooth (My First I Can Read),Pete the Cat and the Lost Tooth,"['James Dean', 'Kimberly Dean']",HarperCollins,2017-09-05,"New York Times bestselling author and artist James Dean brings readers along for a fun and surprising adventure with Pete the Cat! In Pete the Cat and the Lost Tooth, the tooth fairy asks Pete for some help. But it’s not easy being the tooth fairy for Pete when a tooth goes missing—will he be able to find the lost tooth before it’s too late? Beginning readers will love Pete's adventure as the tooth fairy in this My First I Can Read story, complete with original illustrations from the creator of Pete the Cat, James Dean. My First I Can Read books are perfect for shared reading with a child.",35.0,BOOK,['Juvenile Fiction'],,,en
The Dot,The Dot,['Peter H. Reynolds'],Candlewick Press,2022-05-31,"Vashti believes that she cannot draw, but her art teacher's encouragement leads her to change her mind and she goes on to encourage another student who feels the same as she had.",33.0,BOOK,['Juvenile Fiction'],,,en
To The Moon and Back With You: A Tale of Endless Love,To The Moon and Back With You,['Jonathan Adams'],Independently Published,2024-09-26,To the Moon and Back with You,0.0,BOOK,['Juvenile Fiction'],,,en
Bowwow Powwow (ALA Notable Children's Books. Younger Readers (Awards)),Fry Bread,['Kevin Noble Maillard'],Roaring Brook Press,2019-10-22,"Winner of the 2020 Robert F. Sibert Informational Book Medal A 2020 American Indian Youth Literature Picture Book Honor Winner “A wonderful and sweet book . . . Lovely stuff.” —The New York Times Book Review Told in lively and powerful verse by debut author Kevin Noble Maillard, Fry Bread is an evocative depiction of a modern Native American family, vibrantly illustrated by Pura Belpre Award winner and Caldecott Honoree Juana Martinez-Neal. Fry bread is food. It is warm and delicious, piled high on a plate. Fry bread is time. It brings families together for meals and new memories. Fry bread is nation. It is shared by many, from coast to coast and beyond. Fry bread is us. It is a celebration of old and new, traditional and modern, similarity and difference. A 2020 Charlotte Huck Recommended Book A Publishers Weekly Best Picture Book of 2019 A Kirkus Reviews Best Picture Book of 2019 A School Library Journal Best Picture Book of 2019 A Booklist 2019 Editor's Choice A Shelf Awareness Best Children's Book of 2019 A Goodreads Choice Award 2019 Semifinalist A Chicago Public Library Best of the Best Book of 2019 A National Public Radio (NPR) Best Book of 2019 An NCTE Notable Poetry Book A 2020 NCSS Notable Social Studies Trade Book for Young People A 2020 ALA Notable Children's Book A 2020 ILA Notable Book for a Global Society 2020 Bank Street College of Education Best Children's Books of the Year List",48.0,BOOK,['Juvenile Fiction'],,,en
